timestamp	202001272006	202001272100	202001272200	202001272300	202001280000	202001280100	202001280200	202001280300	202001280400	202001280500	202001280600	202001280700	202001280800	202001280900	202001281000	202001281100	202001281200	202001281300	202001281400	202001281500	202001281600	202001281700	202001281800	202001281900	202001282000	202001282100	202001282200	202001282300	202001290000	202001290100	202001290200	202001290300	202001290400	202001290500	202001290600	202001290700	202001291043	202001291048	202001291049	202001291052	202001291057	202001291420	202001291847	202001292020	202001301010	202001301714	202001310932
湖北	1423	1423	1423	1423	1423	1423	1423	1423	1423	1423	1423	1423	1423	1423	2714	2714	2714	2714	2714	2714	2714	2714	2714	2714	2714	2714	2714	2714	2714	2714	2714	2714	2714	2714	2714	3554	3554	3554	3554	3554	3554	3554	3554	3554	4586	4586	5806
浙江	128	128	128	128	128	128	128	128	128	128	128	128	128	128	173	173	173	173	173	173	173	173	173	173	173	173	173	173	173	173	173	173	173	173	173	173	296	296	296	296	296	296	296	296	428	428	537
广东	151	151	151	151	151	151	151	151	151	151	151	151	151	151	188	188	188	188	188	188	188	188	188	207	207	207	207	207	207	207	207	207	207	207	207	207	241	241	241	241	241	241	277	277	311	354	393
河南	128	128	128	128	128	128	128	128	128	128	128	128	128	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	206	206	206	206	206	206	206	206	278	278	352
湖南	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	143	143	143	143	143	143	143	143	143	143	143	143	143	143	143	143	143	143	143	143	143	221	221	221	221	221	221	221	221	277	277	277
江西	48	48	48	48	48	48	48	48	48	48	48	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	109	109	109	109	109	109	109	109	109	162	162	240
安徽	70	70	70	70	70	70	70	70	70	70	70	70	70	70	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	152	152	152	152	152	152	152	152	200	200	237
重庆	110	110	110	110	110	110	110	110	110	110	110	110	110	110	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	147	147	147	147	147	147	147	147	165	182	206
山东	75	75	75	75	75	75	75	75	75	75	75	75	75	87	87	87	87	87	87	87	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	121	121	121	121	121	121	130	130	145	158	178
四川	69	69	69	69	69	69	69	69	69	69	69	69	69	69	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	108	108	108	108	108	108	108	108	142	142	177
